Nombre del archivo,Cantidad de palabras
216-VI-00043.txt,10358
216-VI-00090.txt,9941
216-VI-00091.txt,8956
216-VI-00102.txt,5697
216-VI-00109.txt,10944
216-VI-00126.txt,10272
217-VI-00003.txt,8355
217-VI-00005.txt,9309
219-VI-00035.txt,9116
220-AA-00012.txt,24189
220-VI-00033.txt,20141
220-VI-00041.txt,25647
221-PR-00049.txt,8579
221-PR-00489.txt,14516
221-VI-00027.txt,14047
221-VI-00028.txt,12951
221-VI-00045.txt,13805
221-VI-00056.txt,8909
221-VI-00064.txt,22500
222-VI-00067.txt,5320
222-VI-00071.txt,5434
222-VI-00072.txt,4486
224-VI-00004.txt,4443
225-VI-00001.txt,14265
225-VI-00032.txt,14255
225-VI-00048.txt,15855
225-VI-00049.txt,8483
225-VI-00051.txt,10484
227-VI-00002.txt,21050
227-VI-00018.txt,5096
227-VI-00038.txt,10823
227-VI-00039.txt,2881
227-VI-00043.txt,10326
227-VI-00047.txt,8034
227-VI-00048.txt,6961
227-VI-00057.txt,11583
228-VI-00007.txt,1961
228-VI-00010.txt,3267
228-VI-00026.txt,1720
228-VI-00028.txt,1302
228-VI-00038.txt,5649
228-VI-00046.txt,2669
228-VI-00068.txt,7896
228-VI-00071.txt,5525
229-VI-00001.txt,6984
229-VI-00065.txt,10698
229-VI-00066.txt,8422
229-VI-00070.txt,11852
229-VI-00081.txt,10146
229-VI-00103.txt,9336
229-VI-00128.txt,15304
230-VI-00003.txt,12802
230-VI-00021.txt,8008
230-VI-00027.txt,7163
230-VI-00033.txt,13323
230-VI-00051.txt,5208
230-VI-00083.txt,7564
232-VI-00024.txt,7699
232-VI-00026.txt,8523
232-VI-00035.txt,17128
232-VI-00047.txt,10678
232-VI-00048.txt,11657
232-VI-00077.txt,12353
233-PR-02140.txt,18452
233-PR-02222.txt,64569
233-PR-02642.txt,15383
233-PR-02892.txt,14899
233-PR-02922.txt,10884
233-PR-03085.txt,16728
233-VI-00003.txt,13380
233-VI-00004.txt,3165
235-AA-00001.txt,13052
235-VI-00010.txt,8635
236-VI-00001.txt,7769
237-VI-00027.txt,8819
237-VI-00052.txt,10856
237-VI-00056.txt,10932
237-VI-00066.txt,11809
237-VI-00069.txt,10249
238-VI-00056.txt,14948
238-VI-00057.txt,8298
238-VI-00062.txt,9388
239-PR-02677.txt,13127
239-VI-00003.txt,7041
239-VI-00008.txt,11132
239-VI-00014.txt,10739
239-VI-00015.txt,6703
239-VI-00023.txt,13745
241-VI-00002.txt,13016
243-VI-00007.txt,40655
243-VI-00056.txt,3842
247-VI-00016.txt,5747
251-VI-00018.txt,4904
252-AA-00006.txt,36111
253-PR-00606.txt,16370
253-VI-00009.txt,20044
253-VI-00019.txt,13745
253-VI-00022.txt,22669
253-VI-00027.txt,15472
253-VI-00030.txt,16572
253-VI-00042.txt,3259
253-VI-00044.txt,12040
255-VI-00003.txt,6934
255-VI-00014.txt,9810
260-VI-00008.txt,9902
260-VI-00022.txt,5045
261-PR-02046.txt,12989
261-VI-00033.txt,9671
261-VI-00034.txt,8965
261-VI-00049.txt,9694
261-VI-00052.txt,19741
261-VI-00073.txt,23667
266-VI-00003.txt,8719
266-VI-00009.txt,8174
267-VI-00007.txt,3308
268-VI-00003.txt,16245
