Nombre del archivo;Cantidad de palabras
229-VI-00133.txt;14379
230-VI-00080.txt;11803
232-VI-00024.txt;7699
232-VI-00026.txt;8523
232-VI-00035.txt;17128
232-VI-00047.txt;10678
234-VI-00001.txt;25556
235-VI-00019.txt;8858
235-VI-00021.txt;21670
237-VI-00045.txt;13814
237-VI-00069.txt;10249
238-VI-00015.txt;7957
238-VI-00030.txt;9240
238-VI-00035.txt;18624
238-VI-00044.txt;10769
238-VI-00048.txt;15781
238-VI-00053.txt;13679
238-VI-00057.txt;8298
238-VI-00059.txt;12864
238-VI-00062.txt;9388
243-VI-00007.txt;40655
243-VI-00035.txt;7114
243-VI-00041.txt;1415
245-PR-02624.txt;10031
245-PR-02636.txt;7622
245-VI-00004.txt;15929
248-VI-00001.txt;25159
248-VI-00009.txt;10669
250-VI-00001.txt;12231
252-AA-00006.txt;36111
252-VI-00003.txt;7727
253-PR-00606.txt;16370
253-VI-00027.txt;15472
253-VI-00030.txt;16572
253-VI-00042.txt;3259
253-VI-00050.txt;20772
255-VI-00001.txt;8895
255-VI-00002.txt;15308
255-VI-00003.txt;6934
255-VI-00008.txt;7149
255-VI-00009.txt;7537
255-VI-00012.txt;9582
255-VI-00014.txt;9810
257-VI-00001.txt;43027
260-VI-00008.txt;9902
261-VI-00016.txt;11994
266-VI-00010.txt;8988
267-AA-00001.txt;12421
267-VI-00022.txt;12113
268-VI-00003.txt;16245
268-VI-00006.txt;11187
268-VI-00012.txt;45206
273-VI-00001.txt;28201
274-AA-00002.txt;10550
274-HV-00003.txt;15045
274-PR-03235.txt;15265
274-VI-00003.txt;13702
276-VI-00020.txt;21197
277-VI-00001.txt;8104
277-VI-00002.txt;6111
277-VI-00003.txt;15900
277-VI-00015.txt;17543
280-VI-00007.txt;9563
281-VI-00003.txt;2724
281-VI-00005.txt;6040
281-VI-00017.txt;16315
283-VI-00002.txt;8712
283-VI-00004.txt;14539
284-PR-02348.txt;6694
284-VI-00003.txt;10468
285-VI-00001.txt;13279
285-VI-00002.txt;20644
290-VI-00001.txt;15202
290-VI-00002.txt;12767
290-VI-00003.txt;12767
290-VI-00005.txt;30583
290-VI-00012.txt;11653
290-VI-00014.txt;7664
291-VI-00001.txt;12189
295-VI-00012.txt;3946
296-VI-00001.txt;7406
297-VI-00002.txt;14321
298-VI-00001.txt;17992
304-VI-00001.txt;12441
304-VI-00005.txt;9911
307-VI-00036.txt;13886
